,batch,instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,par_PercNeg,par_CP,vertices,edges,diameter,max in degree,min in degree,mean in degree,max out degree,min out degree,mean out degree,discounted Rate,negative activities,deadline,last task Early Finish,effort,NPV,time
964,"['100', '10', '3', '20', '50']",dg388.tpf,HS,100,10,3,20,50,1,102,237,9,3,1,2.111111111111111,3,1,2.1616161616161618,0.2,47.05882352941176,114,57,3903,188.8746006518501,0.032052040100097656
965,"['100', '10', '3', '20', '50']",dg388.tpf,RS,100,10,3,20,50,1,102,237,9,3,1,2.111111111111111,3,1,2.1616161616161618,0.2,47.05882352941176,114,57,18931,188.3764896871094,0.34728121757507324
966,"['100', '10', '3', '20', '50']",dg389.tpf,SAA,100,10,3,20,50,1,102,243,8,3,1,2.1818181818181817,3,1,2.1717171717171717,0.2,52.94117647058824,132,66,5612,203.88907377341212,0.06569266319274902
967,"['100', '10', '3', '20', '50']",dg389.tpf,HS,100,10,3,20,50,1,102,243,8,3,1,2.1818181818181817,3,1,2.1717171717171717,0.2,52.94117647058824,132,66,4294,203.88907377341212,0.035881757736206055
968,"['100', '10', '3', '20', '50']",dg389.tpf,RS,100,10,3,20,50,1,102,243,8,3,1,2.1818181818181817,3,1,2.1717171717171717,0.2,52.94117647058824,132,66,39724,203.88907377341212,0.44556689262390137
969,"['100', '10', '3', '20', '50']",dg39.tpf,SAA,100,10,3,20,50,1,102,241,10,3,1,2.1515151515151514,3,1,2.1818181818181817,0.2,48.03921568627451,152,76,5242,172.7241584490548,0.05251026153564453
970,"['100', '10', '3', '20', '50']",dg39.tpf,HS,100,10,3,20,50,1,102,241,10,3,1,2.1515151515151514,3,1,2.1818181818181817,0.2,48.03921568627451,152,76,4210,172.7241584490548,0.03188920021057129
971,"['100', '10', '3', '20', '50']",dg39.tpf,RS,100,10,3,20,50,1,102,241,10,3,1,2.1515151515151514,3,1,2.1818181818181817,0.2,48.03921568627451,152,76,22533,172.7241584490548,0.2848694324493408
972,"['100', '10', '3', '20', '50']",dg390.tpf,SAA,100,10,3,20,50,1,102,248,7,3,1,2.212121212121212,3,1,2.212121212121212,0.2,52.94117647058824,136,68,7022,137.7689659168662,0.061232805252075195
973,"['100', '10', '3', '20', '50']",dg390.tpf,HS,100,10,3,20,50,1,102,248,7,3,1,2.212121212121212,3,1,2.212121212121212,0.2,52.94117647058824,136,68,5678,137.7689659168662,0.05035734176635742
974,"['100', '10', '3', '20', '50']",dg390.tpf,RS,100,10,3,20,50,1,102,248,7,3,1,2.212121212121212,3,1,2.212121212121212,0.2,52.94117647058824,136,68,26471,137.7689659168662,0.3030059337615967
975,"['100', '10', '3', '20', '50']",dg391.tpf,SAA,100,10,3,20,50,1,102,237,8,3,1,2.090909090909091,3,1,2.1313131313131315,0.2,46.07843137254902,104,52,4322,262.1543877191359,0.042192935943603516
976,"['100', '10', '3', '20', '50']",dg391.tpf,HS,100,10,3,20,50,1,102,237,8,3,1,2.090909090909091,3,1,2.1313131313131315,0.2,46.07843137254902,104,52,3494,262.1543877191359,0.021938323974609375
977,"['100', '10', '3', '20', '50']",dg391.tpf,RS,100,10,3,20,50,1,102,237,8,3,1,2.090909090909091,3,1,2.1313131313131315,0.2,46.07843137254902,104,52,28443,262.1543877191359,0.30638670921325684
978,"['100', '10', '3', '20', '50']",dg392.tpf,SAA,100,10,3,20,50,1,102,241,9,3,1,2.121212121212121,3,1,2.202020202020202,0.2,40.19607843137255,150,75,6255,232.77761226791276,0.08681082725524902
979,"['100', '10', '3', '20', '50']",dg392.tpf,HS,100,10,3,20,50,1,102,241,9,3,1,2.121212121212121,3,1,2.202020202020202,0.2,40.19607843137255,150,75,3946,232.77761226791276,0.03349590301513672
980,"['100', '10', '3', '20', '50']",dg392.tpf,RS,100,10,3,20,50,1,102,241,9,3,1,2.121212121212121,3,1,2.202020202020202,0.2,40.19607843137255,150,75,9287,232.77761226791276,0.10054898262023926
981,"['100', '10', '3', '20', '50']",dg393.tpf,SAA,100,10,3,20,50,1,102,237,8,3,1,2.101010101010101,3,1,2.1313131313131315,0.2,39.21568627450981,152,76,4439,130.1883464491672,0.04318666458129883
982,"['100', '10', '3', '20', '50']",dg393.tpf,HS,100,10,3,20,50,1,102,237,8,3,1,2.101010101010101,3,1,2.1313131313131315,0.2,39.21568627450981,152,76,3320,130.1883464491672,0.017838478088378906
983,"['100', '10', '3', '20', '50']",dg393.tpf,RS,100,10,3,20,50,1,102,237,8,3,1,2.101010101010101,3,1,2.1313131313131315,0.2,39.21568627450981,152,76,12116,130.1883464491672,0.1449432373046875
984,"['100', '10', '3', '20', '50']",dg394.tpf,SAA,100,10,3,20,50,1,102,244,9,3,1,2.1818181818181817,3,1,2.2323232323232323,0.2,52.94117647058824,124,62,10623,125.67994415149943,0.1121373176574707
985,"['100', '10', '3', '20', '50']",dg394.tpf,HS,100,10,3,20,50,1,102,244,9,3,1,2.1818181818181817,3,1,2.2323232323232323,0.2,52.94117647058824,124,62,7726,125.67994415149943,0.04958915710449219
986,"['100', '10', '3', '20', '50']",dg394.tpf,RS,100,10,3,20,50,1,102,244,9,3,1,2.1818181818181817,3,1,2.2323232323232323,0.2,52.94117647058824,124,62,49635,125.67994378843655,0.5688943862915039
987,"['100', '10', '3', '20', '50']",dg395.tpf,SAA,100,10,3,20,50,1,102,236,8,3,1,2.1313131313131315,3,1,2.090909090909091,0.2,55.88235294117647,130,65,4580,81.03802683772409,0.038417816162109375
988,"['100', '10', '3', '20', '50']",dg395.tpf,HS,100,10,3,20,50,1,102,236,8,3,1,2.1313131313131315,3,1,2.090909090909091,0.2,55.88235294117647,130,65,3835,81.03802683772409,0.02281498908996582
989,"['100', '10', '3', '20', '50']",dg395.tpf,RS,100,10,3,20,50,1,102,236,8,3,1,2.1313131313131315,3,1,2.090909090909091,0.2,55.88235294117647,130,65,24407,80.52399581225102,0.2984130382537842
990,"['100', '10', '3', '20', '50']",dg396.tpf,SAA,100,10,3,20,50,1,102,248,8,3,1,2.2323232323232323,3,1,2.2525252525252526,0.2,50.98039215686274,144,72,5348,117.65012510984057,0.05031228065490723
991,"['100', '10', '3', '20', '50']",dg396.tpf,HS,100,10,3,20,50,1,102,248,8,3,1,2.2323232323232323,3,1,2.2525252525252526,0.2,50.98039215686274,144,72,4377,117.65012510984057,0.03732752799987793
992,"['100', '10', '3', '20', '50']",dg396.tpf,RS,100,10,3,20,50,1,102,248,8,3,1,2.2323232323232323,3,1,2.2525252525252526,0.2,50.98039215686274,144,72,12567,117.65012510984057,0.13911938667297363
993,"['100', '10', '3', '20', '50']",dg397.tpf,SAA,100,10,3,20,50,1,102,235,9,3,1,2.1515151515151514,3,1,2.090909090909091,0.2,50.0,120,60,6978,194.51572000146766,0.08258962631225586
994,"['100', '10', '3', '20', '50']",dg397.tpf,HS,100,10,3,20,50,1,102,235,9,3,1,2.1515151515151514,3,1,2.090909090909091,0.2,50.0,120,60,4311,194.51572000146766,0.03258371353149414
995,"['100', '10', '3', '20', '50']",dg397.tpf,RS,100,10,3,20,50,1,102,235,9,3,1,2.1515151515151514,3,1,2.090909090909091,0.2,50.0,120,60,23569,194.51572000146766,0.27529263496398926
