id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,Unit Effort,NPV,Time
144,RS,50,10,2,10,20,1,255,"0,00299310684",91,9,2,1,"1,530612245",2,1,"1,489795918","0,1","17,30769231",80,40,255,"372,2659305","0,00299310684"
145,SAA,50,10,2,10,20,1,527,"0,00498652458",95,8,2,1,"1,612244898",2,1,"1,591836735","0,1","17,30769231",108,54,527,"482,8072312","0,00498652458"
146,HS,50,10,2,10,20,1,234,"0,00099730492",95,8,2,1,"1,612244898",2,1,"1,591836735","0,1","17,30769231",108,54,234,"482,8072312","0,00099730492"
147,RS,50,10,2,10,20,1,285,"0,00199365616",95,8,2,1,"1,612244898",2,1,"1,591836735","0,1","17,30769231",108,50,285,"481,3920457","0,00199365616"
148,SAA,50,10,2,10,20,1,347,"0,00398993492",92,8,2,1,"1,510204082",2,1,"1,571428571","0,1","21,15384615",90,45,347,"380,8518206","0,00398993492"
149,HS,50,10,2,10,20,1,176,"0,00199460983",92,8,2,1,"1,510204082",2,1,"1,571428571","0,1","21,15384615",90,45,176,"380,8518206","0,00199460983"
150,RS,50,10,2,10,20,1,337,"0,00199341774",92,8,2,1,"1,510204082",2,1,"1,571428571","0,1","21,15384615",90,45,337,"380,8518206","0,00199341774"
151,SAA,50,10,2,10,20,2,458,"0,00398826599",93,8,2,1,"1,551020408",2,1,"1,571428571","0,1","15,38461538",150,50,458,"607,6506845","0,00398826599"
152,HS,50,10,2,10,20,2,211,"0,00299406052",93,8,2,1,"1,551020408",2,1,"1,571428571","0,1","15,38461538",150,50,211,"607,6506845","0,00299406052"
153,RS,50,10,2,10,20,2,242,"0,00199341774",93,8,2,1,"1,551020408",2,1,"1,571428571","0,1","15,38461538",150,50,242,"607,6506845","0,00199341774"
154,SAA,50,10,2,10,20,2,495,"0,00351119041",94,9,2,1,"1,571428571",2,1,"1,673469388","0,1","11,53846154",177,59,495,"475,4527259","0,00351119041"
155,HS,50,10,2,10,20,2,216,0,94,9,2,1,"1,571428571",2,1,"1,673469388","0,1","11,53846154",177,59,216,"475,4527259",0
156,RS,50,10,2,10,20,2,235,0,94,9,2,1,"1,571428571",2,1,"1,673469388","0,1","11,53846154",177,59,235,"475,4527259",0
157,SAA,50,10,2,10,20,2,298,0,92,7,2,1,"1,530612245",2,1,"1,530612245","0,1","13,46153846",141,47,298,"554,668968",0
158,HS,50,10,2,10,20,2,128,0,92,7,2,1,"1,530612245",2,1,"1,530612245","0,1","13,46153846",141,47,128,"554,668968",0
