;batch;instance;algo;par_Vertices;par_Layer;par_Fan;par_DicountedRate;par_PercNeg;par_CP;vertices;edges;diameter;max in degree;min in degree;mean in degree;max out degree;min out degree;mean out degree;discounted Rate;negative activities;deadline;last task Early Finish;effort;NPV;time
55;['50', '10', '2', '10', '0'];dg8.tpf;HS;50;10;2;10;0;2;52;93;9;2;1;1.510204081632653;2;1;1.489795918367347;0.1;0.0;171;57;52;751.7042104876375;0.0
56;['50', '10', '2', '10', '0'];dg8.tpf;RS;50;10;2;10;0;2;52;93;9;2;1;1.510204081632653;2;1;1.489795918367347;0.1;0.0;171;57;52;751.7042104876375;0.004667758941650391
57;['50', '10', '2', '10', '0'];dg9.tpf;SAA;50;10;2;10;0;2;52;94;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;0.0;105;35;95;648.2962103780565;0.0
58;['50', '10', '2', '10', '0'];dg9.tpf;HS;50;10;2;10;0;2;52;94;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;0.0;105;35;52;648.2962103780565;0.0
59;['50', '10', '2', '10', '0'];dg9.tpf;RS;50;10;2;10;0;2;52;94;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;0.0;105;35;52;648.2962103780565;0.0
60;['50', '10', '2', '10', '100'];dg1.tpf;SAA;50;10;2;10;100;1;52;95;7;2;1;1.5714285714285714;2;1;1.5918367346938775;0.1;96.15384615384616;84;42;2264;-2.2206440355694257;0.014543533325195312
61;['50', '10', '2', '10', '100'];dg1.tpf;HS;50;10;2;10;100;1;52;95;7;2;1;1.5714285714285714;2;1;1.5918367346938775;0.1;96.15384615384616;84;42;2151;-2.2206440355694257;0.0
62;['50', '10', '2', '10', '100'];dg1.tpf;RS;50;10;2;10;100;1;52;95;7;2;1;1.5714285714285714;2;1;1.5918367346938775;0.1;96.15384615384616;84;42;10961;-2.2206440355694257;0.05883288383483887
63;['50', '10', '2', '10', '100'];dg10.tpf;SAA;50;10;2;10;100;1;52;95;8;2;1;1.5714285714285714;2;1;1.6122448979591837;0.1;96.15384615384616;148;74;2274;-0.027999916005708683;0.01773548126220703
64;['50', '10', '2', '10', '100'];dg10.tpf;HS;50;10;2;10;100;1;52;95;8;2;1;1.5714285714285714;2;1;1.6122448979591837;0.1;96.15384615384616;148;74;2158;-0.027999916005708683;0.017154693603515625
65;['50', '10', '2', '10', '100'];dg10.tpf;RS;50;10;2;10;100;1;52;95;8;2;1;1.5714285714285714;2;1;1.6122448979591837;0.1;96.15384615384616;148;74;9862;-0.027999916005708683;0.06637835502624512
66;['50', '10', '2', '10', '100'];dg2.tpf;SAA;50;10;2;10;100;1;52;94;8;2;1;1.5714285714285714;2;1;1.5918367346938775;0.1;96.15384615384616;94;47;2266;-0.9208455530060179;0.014809131622314453
