id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time
314,HS,50,10,2,10,80,1,1438,"0,00598311424"
315,RS,50,10,2,10,80,1,7496,"0,04687571526"
316,SAA,50,10,2,10,80,1,1660,"0,00698113441"
317,HS,50,10,2,10,80,1,1484,"0,00398921967"
318,RS,50,10,2,10,80,1,4766,"0,03889679909"
319,SAA,50,10,2,10,80,1,1892,"0,01795363426"
320,HS,50,10,2,10,80,1,1726,"0,00498437881"
321,RS,50,10,2,10,80,1,5890,"0,05385589600"
322,SAA,50,10,2,10,80,1,1872,"0,02194166183"
323,HS,50,10,2,10,80,1,1699,"0,01595473289"
324,RS,50,10,2,10,80,1,5362,"0,04787206650"
325,SAA,50,10,2,10,80,1,1720,"0,01097154617"
326,HS,50,10,2,10,80,1,1546,"0,00897550583"
327,RS,50,10,2,10,80,1,6541,"0,05584764481"
328,SAA,50,10,2,10,80,1,1233,"0,00498700142"
329,HS,50,10,2,10,80,1,1108,"0,00997495651"
330,RS,50,10,2,10,80,1,2855,"0,02692890167"
331,SAA,50,10,2,10,80,2,1786,"0,03124856949"
332,HS,50,10,2,10,80,2,1534,"0,02171969414"
333,RS,50,10,2,10,80,2,4421,"0,03889465332"
334,SAA,50,10,2,10,80,2,1717,"0,01196861267"
335,HS,50,10,2,10,80,2,1528,"0,00997376442"
336,RS,50,10,2,10,80,2,10420,"0,09274983406"
337,SAA,50,10,2,10,80,2,1521,"0,01097178459"
338,HS,50,10,2,10,80,2,1305,"0,00698208809"
339,RS,50,10,2,10,80,2,8701,"0,07080912590"
340,SAA,50,10,2,10,80,2,1617,"0,01296472549"
341,HS,50,10,2,10,80,2,1439,"0,00897550583"
342,RS,50,10,2,10,80,2,5354,"0,05485224724"
343,SAA,50,10,2,10,80,2,1526,"0,00997376442"
344,HS,50,10,2,10,80,2,1418,"0,00797915459"
345,RS,50,10,2,10,80,2,3431,"0,02194237709"
346,SAA,50,10,2,10,80,2,1983,"0,00797867775"
347,HS,50,10,2,10,80,2,1716,"0,00000000000"
348,RS,50,10,2,10,80,2,5750,"0,04276514053"
349,SAA,50,10,2,10,80,2,1840,"0,02402281761"
350,HS,50,10,2,10,80,2,1720,"0,00000000000"
351,RS,50,10,2,10,80,2,11716,"0,09873414040"
352,SAA,50,10,2,10,80,2,1806,"0,00897502899"
353,HS,50,10,2,10,80,2,1661,"0,00797843933"
354,RS,50,10,2,10,80,2,12378,"0,11668419840"
355,SAA,50,10,2,10,80,2,1714,"0,01396322250"
356,HS,50,10,2,10,80,2,1449,"0,00997352600"
357,RS,50,10,2,10,80,2,7117,"0,06781840324"
358,SAA,50,10,2,10,80,2,1878,"0,00797820091"
359,HS,50,10,2,10,80,2,1677,"0,00997376442"
360,RS,50,10,2,10,80,2,7532,"0,05086421967"
361,SAA,50,10,2,20,0,1,105,"0,00000000000"
362,HS,50,10,2,20,0,1,52,"0,00000000000"
363,RS,50,10,2,20,0,1,52,"0,00000000000"
364,SAA,50,10,2,20,0,1,107,"0,00000000000"
365,HS,50,10,2,20,0,1,52,"0,00000000000"
